iter	RMSE
0	0.8886549926
1	0.8683216484
2	0.8487923621
3	0.8298884729
4	0.8117716699
5	0.7942848378
6	0.7774851372
7	0.7614202862
8	0.7459191533
9	0.7308957764
10	0.7165395422
11	0.7027022412
12	0.6894918079
13	0.6768038322
14	0.6645186726
15	0.6527382108
16	0.6414912511
17	0.6306510236
18	0.6203279016
19	0.6103205447
20	0.6009282775
21	0.5918512345
22	0.583120376
23	0.5747539519
24	0.5667623611
25	0.5591033851
26	0.5517556801
27	0.5447905495
28	0.5381302204
29	0.5317873875
30	0.525700753
31	0.5199160126
32	0.5144445375
33	0.5092069893
34	0.5040873585
35	0.4992794511
36	0.4946968576
37	0.4903335853
38	0.4862084064
39	0.4822076066
40	0.4784750167
41	0.4749388579
42	0.4715294034
43	0.4682426229
44	0.4651168654
45	0.4621974148
46	0.4593861521
47	0.4567612577
48	0.4542160293
49	0.4517223203
50	0.4493238751
51	0.4471643731
52	0.4450694264
53	0.4430162494
54	0.4411153599
55	0.4392947085
56	0.4375286444
57	0.4359413128
58	0.434348549
59	0.4328476165
60	0.4314844352
61	0.4301570069
62	0.4288546233
63	0.4276647793
64	0.4264909791
65	0.4254276465
66	0.4243809441
67	0.4233876661
68	0.4224511511
69	0.4215623984
70	0.4206928975
71	0.4197860202
72	0.4190160691
73	0.4182941913
74	0.4175799349
75	0.4168599404
76	0.4162178789
77	0.4155868686
78	0.4149727976
79	0.4144383257
80	0.4137910311
81	0.4132018843
82	0.4126432388
83	0.4121155342
84	0.41166711
85	0.4112057578
86	0.4107705719
87	0.4103450235
88	0.4099227207
89	0.4095046511
90	0.4090605591
91	0.4086900076
92	0.4082632468
93	0.4079166826
94	0.4075453735
95	0.4072511083
96	0.4069653989
97	0.4066234397
98	0.4063382867
99	0.4060447243
100	0.4057457442
101	0.4055011015
102	0.4052236934
103	0.4050031797
104	0.4048041709
105	0.4045164734
106	0.4042678927
107	0.4040409983
108	0.4038451589
109	0.4036295093
110	0.403441261
111	0.4032522173
112	0.4030622778
113	0.4028700623
114	0.402697579
115	0.4025445674
116	0.402322324
117	0.4019811836
118	0.4017906807
119	0.4016184442
120	0.4014398253
121	0.4012326625
122	0.4010747868
123	0.4008373572
124	0.4007033455
