iter	RMSE
0	0.8322113215
1	0.8128730739
2	0.7944939919
3	0.7769650459
4	0.7601570128
5	0.7436920195
6	0.7277725978
7	0.7127187293
8	0.6982719454
9	0.68422598
10	0.6701887679
11	0.656863808
12	0.6440701949
13	0.6316235213
14	0.6198309194
15	0.6083485947
16	0.5973770283
17	0.5868942189
18	0.5768324868
19	0.566944195
20	0.5575253386
21	0.548739845
22	0.5400382643
23	0.5319571351
24	0.5241086532
25	0.5162836111
26	0.5089051346
27	0.5018130428
28	0.4951323885
29	0.4888212795
30	0.4826903984
31	0.4769062061
32	0.4715227078
33	0.4662037943
34	0.4614535148
35	0.4564193119
36	0.4517178954
37	0.4471535579
38	0.4429033482
39	0.4388075814
40	0.435156811
41	0.4314524654
42	0.4279195518
43	0.4244895293
44	0.4210793097
45	0.4178339992
46	0.4147937786
47	0.4119795412
48	0.4092099388
49	0.4066507564
50	0.4041786701
51	0.4018212247
52	0.3998568088
53	0.3977358635
54	0.3956401303
55	0.3936656462
56	0.391980344
57	0.3902987309
58	0.3885966086
59	0.3869537835
60	0.3853086072
61	0.3838484866
62	0.3824455552
63	0.3810465686
64	0.3799393334
65	0.378700512
66	0.3775144784
67	0.37647849
68	0.3754228166
69	0.374422203
70	0.3735061187
71	0.3726216081
72	0.3717606466
73	0.3710030317
74	0.3702179221
75	0.3694641233
76	0.3689658358
77	0.3681787443
78	0.3675216648
79	0.3668787765
80	0.3662826492
81	0.3657306329
82	0.3652159922
83	0.3646944957
84	0.3641900176
85	0.3637789979
86	0.3632744665
87	0.362874268
88	0.3624455904
89	0.3621321502
90	0.3617403265
91	0.3613433274
92	0.361012362
93	0.3606648473
94	0.3603712626
95	0.3600922064
96	0.3597723898
97	0.3595391736
98	0.359276927
99	0.3590390328
100	0.3588096776
101	0.3585450675
102	0.3583170356
103	0.3581450377
104	0.357972403
105	0.3577520888
106	0.3575587596
107	0.3572951449
108	0.3571304524
109	0.3569254044
110	0.3566126854
111	0.3563925368
112	0.3562511565
113	0.3561038711
114	0.3559568893
115	0.3557820992
116	0.3556471801
117	0.3554877442
118	0.3553922802
119	0.3552727718
120	0.3551680455
121	0.3550765028
122	0.3549742869
123	0.3548981727
124	0.35480913
125	0.3546655267
126	0.3546076022
127	0.3545421044
128	0.3544648427
129	0.3544225676
130	0.3543751529
131	0.3542901994
132	0.3542042671
133	0.3540896259
134	0.3540544603
135	0.3539358151
136	0.3538567717
137	0.3538227689
138	0.3537543867
139	0.3535325876
140	0.353466351
141	0.3533784372
142	0.3533485124
143	0.3532936436
144	0.3532594246
145	0.3532460881
146	0.3532042828
147	0.3530162002
148	0.3529776639
149	0.3529325302
150	0.3529173438
151	0.3528152377
152	0.3527129722
153	0.3526485071
154	0.352636305
155	0.3526125053
156	0.3525863672
157	0.3525237726
158	0.3524994784
159	0.3524830721
160	0.3524046229
161	0.3523868915
162	0.3523567309
163	0.3522339725
164	0.352121864
165	0.352077184
166	0.3520261591
167	0.3519546532
168	0.3519330946
169	0.3518102426
170	0.3517963957
171	0.3517201361
172	0.3517082706
173	0.3516954284
174	0.351643068
175	0.3515722112
176	0.3515451927
177	0.3514659047
178	0.3514532165
179	0.3514221074
180	0.3514184818
181	0.3514021119
182	0.3513910389
183	0.3513769476
184	0.351348014
185	0.3513246591
186	0.3513155057
187	0.3513002928
188	0.3512972741
189	0.3512577238
190	0.3512540856
191	0.351248612
192	0.3512283025
193	0.3511560041
194	0.3510661861
195	0.3510289463
196	0.3510223715
197	0.3510154381
198	0.3510104063
199	0.350977932
200	0.3509604763
201	0.3508666725
202	0.3508412524
203	0.3508357071
204	0.3508305858
205	0.3507339412
206	0.3506844286
207	0.3506711139
208	0.3506661207
209	0.3506570153
210	0.3506494219
211	0.350648334
212	0.3506321022
213	0.350610299
214	0.3505985483
215	0.3505802032
216	0.3505750999
217	0.3505451861
218	0.3505340099
219	0.3505292324
220	0.3504962237
221	0.3504593804
222	0.3504576498
223	0.3504548088
224	0.3504459701
225	0.3504187994
226	0.3503643646
227	0.3503607498
228	0.3503571677
229	0.3503569064
230	0.3503537488
231	0.3503536073
232	0.350345158
233	0.3502247116
234	0.3501198046
235	0.3501196194
236	0.3501188785
237	0.3500858746
238	0.3500121632
239	0.3499848935
240	0.3499825283
241	0.3499763372
242	0.3499733506
243	0.3499719445
244	0.349964903
245	0.3499607173
246	0.3499366267
247	0.3499320373
248	0.3499311434
249	0.3499295082
250	0.3499257036
251	0.3499232508
252	0.3498904029
253	0.3498218846
254	0.3498144475
255	0.3498139677
256	0.3497835525
257	0.3497827346
258	0.3497773689
259	0.3497728319
260	0.3496990218
261	0.3496420638
262	0.3496346556
263	0.3496232976
264	0.34956098
265	0.3495501652
266	0.3495433662
267	0.3495414346
268	0.34946441
269	0.3494573255
270	0.349413069
271	0.349398079
272	0.3493740151
273	0.34937229
274	0.34936718
275	0.3493010818
276	0.3492922685
277	0.3492907395
278	0.3492892105
279	0.3492872774
280	0.3492253259
281	0.3492251948
282	0.3492234252
283	0.3492232942
284	0.3492232068
285	0.3492214809
286	0.3491976124
287	0.3491525691
288	0.349078136
289	0.349077535
290	0.3490430338
291	0.3489988122
292	0.3489335625
293	0.3488840241
294	0.3488827776
295	0.3488811594
296	0.3488800003
297	0.3488701048
298	0.3487982473
299	0.348796913
300	0.3487249966
301	0.3487237167
302	0.3486448702
303	0.3486430649
304	0.3486357449
305	0.3486351759
306	0.348626882
307	0.3486008389
308	0.3485860985
309	0.3485843038
310	0.3485826623
311	0.3485467987
312	0.3485386997
